UID          PID    PPID  C STIME TTY          TIME CMD
avahi        568       1  0 14:35 ?        00:00:00 avahi-daemon: running [SeonU.local]
root         570       1  0 14:35 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root         573       1  0 14:35 ?        00:00:00 /usr/sbin/cron -f -P
message+     575       1  0 14:35 ?        00:00:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         577       1  0 14:35 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root         585       1  0 14:35 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         587       1  0 14:35 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         590       1  0 14:35 ?        00:00:02 /usr/libexec/polkitd --no-debug
root         593       1  0 14:35 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       596       1  0 14:35 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         600       1  0 14:35 ?        00:00:04 /usr/lib/snapd/snapd
root         601       1  0 14:35 ?        00:00:00 /usr/libexec/switcheroo-control
root         605       1  0 14:35 ?        00:00:00 /lib/systemd/systemd-logind
root         607       1  0 14:35 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         608       1  0 14:35 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         611       1  0 14:35 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        623     568  0 14:35 ?        00:00:00 avahi-daemon: chroot helper
root         698       1  0 14:35 ?        00:00:00 /usr/sbin/ModemManager
root         706       1  0 14:35 ?        00:00:00 /usr/sbin/cupsd -l
root         722       1  0 14:35 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         733       1  0 14:35 ?        00:00:00 /usr/libexec/upowerd
root         754       1  0 14:35 ?        00:00:00 /usr/sbin/gdm3
rtkit        838       1  0 14:35 ?        00:00:00 /usr/libexec/rtkit-daemon
